date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-04-26,2024,8,Cangzhou,Henan Songshan Longmen,2,0.3779608077166899,0.32646936393265225,0.2955698283506578,0.859455232156584,2.78,3.2,2.45,3.95,3.74,1.88,home,0.050731045452397705,-1.0,-0.09240538209522042,-0.09591276940741175,0.026761111177308634
2024-04-27,2024,8,Shanghai Port,Shanghai Shenhua,1,0.4073696635929765,0.366148076199837,0.2264822602071865,0.8221872381639022,2.05,3.55,3.69,1.85,3.84,3.96,draw,0.2998256705094213,2.55,-0.02353032324777024,-0.022347759857003904,0.01096380188688999
2024-04-30,2024,9,Meizhou Hakka,Qingdao West Coast,1,0.5421242547024244,0.24583107889425293,0.21204466640332276,0.833788051243519,2.18,3.18,3.3,1.95,3.35,3.72,home,0.18183087525128538,-1.0,0.04853808160708639,0.04503069429489507,0.03248369108096978
2024-04-30,2024,9,Zhejiang Professional,Henan Songshan Longmen,0,0.6012516247403863,0.2493739566798906,0.14937441857972317,0.833788051243519,1.78,3.79,3.92,1.6,4.45,4.89,home,0.0702278920378876,0.78,0.07303532432685833,0.069527937014667,0.041976615394098915
2024-04-30,2024,9,Tianjin Jinmen Tiger,Beijing Guoan,2,0.2637077992127756,0.3719526983206262,0.36433950246659824,0.833788051243519,2.72,3.16,2.55,3.75,3.63,1.96,draw,0.17537052669317887,-1.0,-0.03225555484929382,-0.031072991458527485,0.022422833706134952
2024-04-30,2024,9,Shandong Taishan,Nantong Zhiyun,0,0.6384017305524751,0.29205303678846145,0.06954523265906352,0.833788051243519,1.32,5.06,7.6,1.26,5.74,10.93,draw,0.47778836614961473,-1.0,-0.01739285795736273,-0.01621029456659639,0.015781273939082886
2024-05-01,2024,9,Shanghai Shenhua,Cangzhou,0,0.6569341973673556,0.26534343045290504,0.07772237217973932,0.8375395263336494,1.3,5.16,8.05,1.09,10.25,21.76,draw,0.36917210113698995,-1.0,-0.086289572986928,-0.08510700959616167,0.015552465043923573
2024-05-01,2024,9,Chengdu Rongcheng,Wuhan Three Towns,1,0.5028078031375355,0.32286385481315294,0.17432834204931172,0.8375395263336494,1.62,3.95,4.67,1.49,4.18,6.76,draw,0.2753122265119541,2.95,-0.007366989873244828,-0.006184426482478489,0.019743084556137158
2024-05-01,2024,9,Changchun Yatai,Shenzhen Xinpengcheng,1,0.3987379569947936,0.2699589963364134,0.3313030466687931,0.8375395263336494,2.18,3.3,3.17,2.42,3.41,2.92,away,0.0502306579400742,-1.0,0.03363766803092477,0.03596249195234976,0.022608877084818846
2024-05-01,2024,9,Qingdao Hainiu,Shanghai Port,2,0.10792468319434038,0.22430326665510622,0.6677720501505534,0.8375395263336494,7.59,4.84,1.33,9.27,5.62,1.3,draw,0.085627810610714,-1.0,-0.020856535782081964,-0.019673972391315627,0.017102019396101138
2024-05-04,2024,10,Henan Songshan Longmen,Tianjin Jinmen Tiger,2,0.32040677843438564,0.3591414266725547,0.32045179489305975,0.862663760571177,2.1,3.28,3.36,2.02,3.51,3.69,draw,0.17798387948597938,-1.0,-0.011550264802234977,-0.010367701411468639,0.022240094540918482
2024-05-04,2024,10,Qingdao West Coast,Shandong Taishan,1,0.06657416550419847,0.1793598717216401,0.7540659627741615,0.862663760571177,5.64,4.37,1.47,6.41,5.21,1.41,away,0.10847696527801731,-1.0,0.044704640520924155,0.04702946444234914,0.05410694745487079
2024-05-05,2024,10,Beijing Guoan,Chengdu Rongcheng,0,0.2863583742578326,0.38237827818134357,0.33126334756082393,0.8710011591260947,2.31,3.29,2.95,2.34,3.23,3.2,draw,0.2580245352166204,-1.0,0.012483841862647116,0.013666405253413455,0.021425320824078053
2024-05-05,2024,10,Meizhou Hakka,Cangzhou,1,0.41322282989254433,0.3019848903033072,0.28479227980414834,0.8710011591260947,2.38,3.23,2.9,2.08,3.54,3.47,home,-0.016529664855744586,-1.0,0.06624658552788892,0.0627391982156976,0.02916608028394444
2024-05-05,2024,10,Wuhan Three Towns,Qingdao Hainiu,0,0.6070357630817456,0.26925556921022004,0.12370866770803432,0.8710011591260947,1.78,3.68,4.06,1.67,3.68,5.38,home,0.08052365828550712,0.78,0.04656582324682079,0.04305843593462947,0.041538681843044094
2024-05-05,2024,10,Nantong Zhiyun,Changchun Yatai,2,0.3324967352246235,0.3862722818732017,0.2812309829021749,0.8710011591260947,2.19,3.26,3.19,2.74,3.07,2.79,draw,0.2592476389066374,-1.0,0.02562478629488718,0.026807349685653518,0.021891035646330863
2024-05-05,2024,10,Shenzhen Xinpengcheng,Shanghai Port,2,0.11378091310879158,0.18574264223368436,0.7004764446575241,0.8710011591260947,7.64,4.89,1.33,7.83,5.58,1.33,away,-0.06836632860549285,0.33000000000000007,0.01859027746358166,0.02091510138500665,0.06034900484095321
2024-05-05,2024,10,Shanghai Shenhua,Zhejiang Professional,0,0.49923295421943575,0.3345547286360339,0.16621231714453039,0.8710011591260947,1.47,4.33,5.7,1.64,3.83,4.62,draw,0.4486219749940268,-1.0,0.027602769015572737,0.028785332406339074,0.018417300808292084
2024-05-10,2024,11,Chengdu Rongcheng,Henan Songshan Longmen,0,0.6708378241689347,0.2422022053113259,0.08695997051973944,0.8697954906181923,1.45,4.4,5.85,1.46,4.58,6.43,draw,0.06568970336983404,-1.0,-0.0026992059747015518,-0.0015166425839352135,0.01835702011183819
2024-05-10,2024,11,Shanghai Port,Changchun Yatai,0,0.8507743491156899,0.10850143287720891,0.04072421800710118,0.8697954906181923,1.19,6.21,10.65,1.13,8.46,15.59,home,0.012421475447671027,0.18999999999999995,0.06190590649226413,0.05839851918007281,0.07309046479523201
2024-05-10,2024,11,Qingdao Hainiu,Nantong Zhiyun,1,0.3644358298889327,0.40661712749139006,0.22894704261967724,0.8697954906181923,2.41,3.14,2.91,2.26,2.99,3.33,draw,0.27677778032296474,2.14,0.014783511034312136,0.015966074425078473,0.02278327076088596
2024-05-11,2024,11,Tianjin Jinmen Tiger,Shanghai Shenhua,1,0.17124003605271032,0.4233697959191547,0.405390168028135,0.8838384785835955,4.95,3.65,1.64,5.16,4.0,1.64,draw,0.5452997551049146,2.65,-0.01504320362468764,-0.013860640233921301,0.021637461387908383
