Season,Round,Home,Away,line,T,ev_cal,pl_cal,ev_unc,pl_unc
2023,21,Meizhou Hakka,Changchun Yatai,0.0,1.4530308912838514,0.0023427112945947157,0.8700000000000001,0.013429191217003585,0.8700000000000001
2023,21,Qingdao Hainiu,Shanghai Port,1.25,1.4530308912838514,-0.008627640715558754,-1.0,0.04499040537283207,-1.0
2023,21,Zhejiang Professional,Nantong Zhiyun,-0.75,1.4530308912838514,-0.04774624465562054,-1.0,-0.007400975553357705,0.8200000000000001
2023,21,Shandong Taishan,Chengdu Rongcheng,-0.25,1.4530308912838514,0.12755504302287093,-1.0,0.09420915380682177,-1.0
2023,21,Cangzhou,Dalian Pro,-0.5,1.4641014944550867,-0.02642921942116261,-1.0,0.02729454234282055,-1.0
2023,21,Shanghai Shenhua,Shenzhen,-2.0,1.4641014944550867,0.24296259217330862,-1.0,0.3476912689256746,-1.0
2023,21,Tianjin Jinmen Tiger,Beijing Guoan,0.0,1.4641014944550867,-0.03350165409293585,0.0,-0.02712498616975862,0.0
2023,21,Wuhan Three Towns,Henan Songshan Longmen,-1.5,1.4641014944550867,0.009265928384269578,-1.0,0.0882821922284754,-1.0
2023,22,Changchun Yatai,Chengdu Rongcheng,0.5,1.4357294413455044,0.09539178705707117,-1.0,0.07837076513773317,-1.0
2023,22,Meizhou Hakka,Qingdao Hainiu,0.0,1.4357294413455044,0.11984441953756071,0.8799999999999999,0.14578739366960858,0.8799999999999999
2023,22,Shanghai Port,Zhejiang Professional,-1.5,1.4357294413455044,0.19681881211633206,-1.0,0.20600190952174643,-1.0
2023,22,Wuhan Three Towns,Shanghai Shenhua,-1.0,1.5320716318557341,0.15690934561208972,0.78,0.251552479311462,0.78
2023,22,Henan Songshan Longmen,Tianjin Jinmen Tiger,0.0,1.5320716318557341,-0.028415260461367935,0.9199999999999999,-0.023628825654050913,0.9199999999999999
