date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2025-07-19,2025,17,Henan Songshan Longmen,Meizhou Hakka,1,0.5961283153689201,0.2597272255682849,0.14414445906279488,0.8857445236988172,1.45,4.72,5.78,1.37,5.24,8.0,0.6465050196456497,0.19716938075498866,0.15632559959936157,home,-0.06256772151380807,-1.0,0.056162314597556495,0.04360091255216156,0.04783484333548521
2025-07-19,2025,17,Beijing Guoan,Shanghai Shenhua,2,0.2125067167970682,0.3464629297049046,0.44103035349802716,0.8857445236988172,2.75,2.99,2.73,2.12,3.35,3.72,0.22299182988085878,0.3142173132379346,0.4627908568812065,away,0.2634190392856939,1.73,-0.08542158725079174,-0.07733824776215573,0.02215759465881886
2025-07-19,2025,17,Shenzhen Xinpengcheng,Qingdao Hainiu,0,0.404793825297861,0.35795679538702907,0.23724937931510992,0.8857445236988172,1.9,3.5,3.9,1.93,3.64,4.02,0.4618799791631483,0.2674124864669794,0.27070753436987244,away,0.05575938404250258,-1.0,-0.0011680263813708958,0.006915313107265123,0.016424691632197935
2025-07-19,2025,17,Dalian Yingbo,Shandong Taishan,0,0.2729168711471395,0.3538671066913598,0.37321602216150074,0.8857445236988172,3.09,3.82,2.08,2.87,3.71,2.38,0.31867588631119587,0.24553226927866875,0.4357918444101354,home,-0.01529151129840478,2.09,0.03209219658145379,0.019530794536058858,0.020086320827017924
2025-07-26,2025,18,Chengdu Rongcheng,Beijing Guoan,0,0.630532359429538,0.24604603294309899,0.12342160762736298,0.8863920332446521,1.79,4.08,3.77,1.62,4.4,4.98,0.6445572502062894,0.22927588327427284,0.1261668665194378,home,0.15375747786925809,0.79,0.06790367197816127,0.055342269932766336,0.036063908514506596
2025-07-26,2025,18,Shanghai Port,Qingdao West Coast,1,0.891499586713619,0.08030089321743342,0.02819952006894763,0.8863920332446521,1.33,5.34,7.27,1.35,5.28,8.69,0.800744930390267,0.1739262606330642,0.025328808976668768,home,0.06499075741905513,-1.0,0.010380274250683663,-0.0021811277947112705,0.053559224225140784
2025-07-26,2025,18,Yunnan Yukun,Shenzhen Xinpengcheng,0,0.4994073685026017,0.31448923551228924,0.18610339598510914,0.8863920332446521,1.75,3.76,4.31,1.88,3.87,3.98,0.5473384181270755,0.2486967531760974,0.20396482869682714,home,-0.04215776827761786,0.75,-0.023656611318829124,-0.03621801336422406,0.03708583317592784
2025-07-27,2025,18,Qingdao Hainiu,Tianjin Jinmen Tiger,0,0.25187530216736104,0.31741334098605445,0.4307113568465847,0.8952140591363454,3.29,3.38,2.14,3.65,3.48,2.09,0.26669397426068253,0.27725446955973854,0.45605155617957904,away,-0.024049669775700777,-1.0,0.022249111655978426,0.030332451144614445,0.02938312751779614
2025-07-27,2025,18,Zhejiang Professional,Wuhan Three Towns,0,0.559717707421517,0.25412774340864497,0.18615454916983804,0.8952140591363454,1.68,4.06,4.32,1.63,4.42,4.91,0.5781665692589176,0.22954303931987252,0.19229039142120988,home,-0.028680163645018464,0.6799999999999999,0.03324555353771208,0.020684151492317147,0.040509083548403386
2025-07-27,2025,18,Shanghai Shenhua,Henan Songshan Longmen,0,0.7564995811794486,0.1909483466254561,0.05255207219509529,0.8952140591363454,1.39,4.7,6.93,1.53,4.64,5.68,0.7502353212452619,0.19764776851941143,0.05211691023532663,home,0.0428270965309141,0.3899999999999999,-0.04295660686704428,-0.055518008912439215,0.05111905608544338
2025-07-27,2025,18,Shandong Taishan,Meizhou Hakka,0,0.6952235899202994,0.2007386374803188,0.10403777259938184,0.8952140591363454,1.25,6.17,8.21,1.26,6.47,9.48,0.7397646130318288,0.14953220643239834,0.11070318053577298,home,-0.07529423371021393,0.25,0.01511597565337619,0.0025545736079812566,0.06190902904968187
2025-07-27,2025,18,Changchun Yatai,Dalian Yingbo,2,0.3143680019326616,0.38022486448571796,0.3054071335816205,0.8952140591363454,3.09,3.31,2.27,3.17,3.43,2.31,0.36351157940044426,0.28333851728274867,0.35314990331680723,home,0.1232507803473728,-1.0,-0.00015876725923702484,-0.012720169304631958,0.020113109318479535
2025-08-02,2025,19,Chengdu Rongcheng,Shandong Taishan,0,0.7268899510286324,0.19201876142526464,0.08109128754610298,0.8737293952654307,1.51,4.6,5.08,1.49,4.8,6.01,0.7179608955876017,0.20194393546892442,0.08009516894347396,home,0.08412095233727857,0.51,0.026516356691568488,0.013954954646173554,0.047058209829766696
2025-08-02,2025,19,Meizhou Hakka,Shanghai Port,2,0.09482467630705928,0.17387359027695112,0.7313017334159896,0.8737293952654307,5.83,5.05,1.42,5.3,4.8,1.55,0.0936146892936158,0.18441517360902274,0.7219701370973615,away,0.02519759467825322,0.41999999999999993,-0.036789282053213745,-0.028705942564577727,0.04838265723551778
2025-08-02,2025,19,Yunnan Yukun,Shanghai Shenhua,1,0.11252864024906101,0.2763846116741142,0.6110867480768248,0.8737293952654307,5.04,4.22,1.57,6.83,5.16,1.42,0.12114381644493426,0.22098472365738542,0.6578714598976805,away,0.03285819203935847,-1.0,0.08027890798847304,0.08836224747710905,0.04295825870435257
2025-08-02,2025,19,Qingdao West Coast,Henan Songshan Longmen,0,0.30540928839367026,0.3122018755691171,0.3823888360372126,0.8737293952654307,3.04,3.47,2.23,2.55,3.68,2.67,0.3239474576665538,0.27045292247298147,0.4055996198604647,home,-0.015199728693676362,2.04,0.06893701679369679,0.056375614748301855,0.020239591782484988
2025-08-03,2025,19,Shenzhen Xinpengcheng,Zhejiang Professional,2,0.2413883946692836,0.2851029665915918,0.47350863873912463,0.8801995727294414,3.07,3.39,2.25,3.47,3.78,2.05,0.24414493764764583,0.2769391756173248,0.47891588673502955,away,0.0775607451538165,1.25,0.05154490106202608,0.0596282405506621,0.02718941984767512
2025-08-03,2025,19,Beijing Guoan,Tianjin Jinmen Tiger,1,0.6568664315421338,0.21979854546456873,0.1233350229932974,0.8801995727294414,1.38,4.87,6.75,1.51,4.56,6.08,0.6815677427318417,0.1904592490814405,0.12797300818671767,home,-0.059436515030058534,-1.0,-0.03901442747327033,-0.05157582951866527,0.052509751429988996
2025-08-03,2025,19,Dalian Yingbo,Qingdao Hainiu,0,0.5028035901515568,0.35987518747556385,0.1373212223728793,0.8801995727294414,1.76,3.68,4.32,1.43,4.51,6.78,0.586257276215564,0.25362937660119556,0.16011334718324052,home,0.031812806139392746,0.76,0.12413959283830478,0.11157819079290984,0.037865848924772905
2025-08-03,2025,19,Wuhan Three Towns,Changchun Yatai,1,0.5624809092823376,0.27593689878979205,0.16158219192787038,0.8801995727294414,1.64,4.19,4.49,1.65,4.25,4.94,0.6037494443284396,0.22281327632586245,0.17343727934569803,home,-0.009850911301359178,-1.0,0.011377275592517666,-0.0011841264528772676,0.04049534889916849
2025-08-08,2025,20,Dalian Yingbo,Chengdu Rongcheng,2,0.13462779654813284,0.3503294550073433,0.5150427484445239,0.8955221015218312,5.88,4.29,1.49,4.03,3.66,1.92,0.16226175138878524,0.21697685649541215,0.6207613921158026,home,-0.0459009018339428,-1.0,0.07978779070412201,0.06722638865872707,0.011763483951476498
2025-08-08,2025,20,Henan Songshan Longmen,Shenzhen Xinpengcheng,0,0.6186757959759251,0.25474865058809826,0.1265755534359767,0.8955221015218312,1.53,4.42,5.17,1.38,5.45,7.34,0.6551596497443062,0.21080052552892672,0.13403982472676723,home,0.002394264108788402,0.53,0.0848763789944158,0.07231497694902086,0.04461547526937508
2025-08-09,2025,20,Shandong Taishan,Changchun Yatai,0,0.7076925129868036,0.19646262861896566,0.0958448583942307,0.8861295450594278,1.27,5.66,8.35,1.25,6.45,10.87,0.7371536523973335,0.16301148128392393,0.09983486631874237,home,-0.0638148614553864,0.27,0.037570156685590606,0.025008754640195672,0.06090946136455958
2025-08-09,2025,20,Qingdao Hainiu,Yunnan Yukun,0,0.2767524300736844,0.31891633368655886,0.40433123623975686,0.8861295450594278,2.7,3.62,2.38,2.56,3.84,2.57,0.301119222515351,0.2589500153129483,0.4399307621717008,away,0.04703521396864785,-1.0,-0.01977844695479214,-0.01169510746615612,0.02630291788534758
2025-08-09,2025,20,Shanghai Shenhua,Shanghai Port,2,0.5586581401189975,0.2637054346626449,0.17763642521835749,0.8861295450594278,1.71,4.05,4.14,1.6,4.91,4.63,0.5841859572532713,0.23006054224796002,0.18575350049876854,home,-0.0010420130969061026,-1.0,0.05340701508551993,0.04084561304012499,0.03991508999752162
2025-08-10,2025,20,Zhejiang Professional,Beijing Guoan,2,0.36659364820324236,0.2771204470198661,0.3562859047768916,0.8734344811584859,2.68,3.81,2.33,2.3,4.1,2.78,0.382123410667984,0.2464975821573078,0.3713790071747082,home,0.024090740590197113,-1.0,0.06827419463375012,0.05571279258835518,0.022703064171887045
2025-08-10,2025,20,Tianjin Jinmen Tiger,Qingdao West Coast,1,0.5665472905396182,0.25843222651432174,0.17502048294606012,0.8734344811584859,2.12,3.5,3.23,2.02,3.64,3.69,0.5594126198337939,0.26777097362020286,0.17281640654600333,home,0.18595475404764317,-1.0,0.03357882672302992,0.021017424677634986,0.029623392608155635
2025-08-10,2025,20,Wuhan Three Towns,Meizhou Hakka,2,0.5472162303354869,0.28638996954920015,0.16639380011531293,0.8734344811584859,1.76,3.98,4.01,1.58,4.25,5.68,0.5865626368437469,0.23507937459613215,0.17835798856012097,home,0.03235024084499449,-1.0,0.07448500295085292,0.06192360090545798,0.03658186881101932
2025-08-15,2025,21,Yunnan Yukun,Wuhan Three Towns,0,0.41936571732535755,0.3151333649401861,0.26550091773445633,0.8740696623856282,2.12,3.87,2.98,1.64,4.21,5.05,0.4638564997547462,0.2424754170088967,0.2936680832363572,home,-0.01662422051993806,1.12,0.1406960633033803,0.12813466125798537,0.029066101969608352
2025-08-15,2025,21,Shanghai Port,Henan Songshan Longmen,0,0.7701387640406556,0.1512348751079495,0.07862636085139482,0.8740696623856282,1.57,4.44,4.7,1.28,5.45,10.84,0.7172486597059656,0.20952472897228103,0.07322661132175327,home,0.12608039573836605,0.5700000000000001,0.14658785753614612,0.13402645549075118,0.04440140341596952
2025-08-16,2025,21,Shenzhen Xinpengcheng,Shandong Taishan,2,0.215535963385777,0.28682355072025234,0.49764048589397064,0.8669011436687777,4.33,4.06,1.68,3.02,3.81,2.24,0.23281268187310442,0.22965745856353598,0.5375298595633595,home,0.008078912510542047,-1.0,0.10304659269817285,0.09048519065277791,0.01560986564250441
2025-08-16,2025,21,Tianjin Jinmen Tiger,Dalian Yingbo,0,0.3694393476273913,0.38094928961686214,0.24961136275574664,0.8669011436687777,2.38,3.54,2.75,1.92,3.63,4.1,0.4386813542008857,0.26492398361478553,0.2963946621843288,home,0.0440616229981079,1.38,0.10664979540924574,0.0940883933638508,0.026121469749436625
2025-08-16,2025,21,Chengdu Rongcheng,Qingdao Hainiu,1,0.8786994583411747,0.1006124300031935,0.020688111655631763,0.8669011436687777,1.08,11.29,19.56,1.65,4.09,5.2,0.8957902164619155,0.08311928684747301,0.02109049669061149,home,-0.03254656622113117,-1.0,-0.2877559262844891,-0.300317328329884,0.0570215291592868
2025-08-16,2025,21,Changchun Yatai,Meizhou Hakka,0,0.44818406101707553,0.3093171868954016,0.2424987520875228,0.8669011436687777,2.55,3.41,2.63,2.27,3.53,3.17,0.4703282027883782,0.2751915241092641,0.2544802731023576,home,0.1993369171103645,1.5499999999999998,0.055880660167709095,0.04331925812231416,0.02415564815192522
2025-08-16,2025,21,Qingdao West Coast,Beijing Guoan,2,0.20499878025349552,0.27598773138401644,0.5190134883624881,0.8669011436687777,3.97,4.08,1.74,3.12,3.74,2.22,0.21838788084554317,0.2287002641981685,0.5529118549562884,away,-0.037933372376058205,0.74,-0.10244604782224398,-0.09436270833360796,0.03844995521348991
