date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2025-05-01,2025,10,Zhejiang Professional,Changchun Yatai,0,0.6798967349983024,0.16541248222410387,0.15469078277759377,1.2383450800894689,1.63,4.11,4.63,1.35,5.51,8.21,0.654108348948218,0.19706826757074214,0.14882338348103988,home,0.06619660878559519,0.6299999999999999,0.1376290944128894,0.12506769236749446,0.041625735989364795
2025-05-01,2025,10,Shandong Taishan,Qingdao Hainiu,1,0.7009887918384646,0.17556645214725014,0.1234447560142853,1.2383450800894689,1.25,5.76,9.31,1.22,6.76,12.17,0.6728337925881196,0.20867957206016097,0.11848663535171963,draw,0.2019943350665272,4.76,-0.01968341009967481,-0.01520534754291589,0.013012130388508866
2025-05-01,2025,10,Henan Songshan Longmen,Wuhan Three Towns,2,0.4649455023197169,0.2605553838255371,0.274499113854746,1.2383450800894689,1.85,3.68,3.9,1.87,3.73,4.2,0.4377597078685777,0.3037913958807675,0.25844889625065476,draw,0.1179523368412243,-1.0,0.003276445784739901,0.00775450834149882,0.017466002681478614
2025-05-01,2025,10,Shenzhen Xinpengcheng,Tianjin Jinmen Tiger,0,0.3307297430380239,0.24598820649032851,0.4232820504716475,1.2383450800894689,2.47,3.3,2.8,2.05,3.3,4.02,0.31241294732538133,0.2877476196588381,0.3998394330157804,away,0.11955041244418507,-1.0,-0.09605281754897715,-0.08796947806034114,0.021807357081146544
2025-05-01,2025,10,Dalian Yingbo,Yunnan Yukun,0,0.5142248743821063,0.26880261412979367,0.21697251148810012,1.2383450800894689,1.97,3.35,3.82,1.77,3.81,4.67,0.48326326927737573,0.3128281870702853,0.20390854365233896,draw,0.04797442668545582,-1.0,-0.027535600261881787,-0.02305753770512287,0.01898038621722433
2025-05-02,2025,10,Qingdao West Coast,Meizhou Hakka,0,0.45034153348732137,0.22742616596731047,0.32223230054536817,1.2222665932255097,1.8,3.91,3.86,1.89,4.03,3.79,0.4286724664753447,0.2646000727391704,0.30672746078548496,away,0.183967998631972,-1.0,0.011404375010756418,0.01948771449939244,0.017033697020357445
2025-05-02,2025,10,Chengdu Rongcheng,Shanghai Shenhua,0,0.4103292050601386,0.2684049593863624,0.32126583555349914,1.2222665932255097,2.31,3.41,2.95,2.09,3.53,3.61,0.3872281582739689,0.30959289106007404,0.3031789506659573,draw,0.05571175851485255,-1.0,-0.0026063107677553043,0.0018717517890036147,0.01793403512466893
2025-05-05,2025,11,Yunnan Yukun,Shandong Taishan,0,0.36387228951207445,0.230933001483607,0.40519470900431853,1.2188346686307425,3.12,3.65,2.12,2.62,3.77,2.55,0.3463681764794155,0.2679290466888356,0.385702776831749,home,0.0806687106157764,2.12,0.06670451114071263,0.0541431090953177,0.019895891482968563
2025-05-05,2025,11,Qingdao Hainiu,Changchun Yatai,0,0.41695862116673993,0.24991613151424366,0.3331252473190163,1.2188346686307425,2.84,3.28,2.45,1.87,3.72,4.22,0.3953374897835339,0.28881126653645145,0.3158512436800145,home,0.12275847098523629,1.8399999999999999,0.18334873938800267,0.17078733734260773,0.021538243331279214
2025-05-05,2025,11,Chengdu Rongcheng,Zhejiang Professional,0,0.7329148361729262,0.15367523935263666,0.1134099244744371,1.2188346686307425,1.45,4.72,5.77,1.29,5.79,9.52,0.7090692142474008,0.1812106899569498,0.10972009579564944,home,0.028150360658731,0.44999999999999996,0.09457195079781966,0.08201054875242472,0.04801389160031494
2025-05-05,2025,11,Dalian Yingbo,Beijing Guoan,2,0.3450986623876668,0.2647715966318097,0.3901297409805235,1.2188346686307425,2.86,3.22,2.47,4.22,4.02,1.8,0.3261983377557468,0.3050385029307883,0.3687631593134649,draw,-0.01777602056286154,-1.0,-0.0526912080494632,-0.04821314549270428,0.018972828919915936
2025-05-05,2025,11,Wuhan Three Towns,Shanghai Port,2,0.19424268197143751,0.2005824020543307,0.6051749159742319,1.2188346686307425,4.28,4.33,1.64,3.32,3.87,2.08,0.18607503311076967,0.2341968588090973,0.5797281080801331,draw,0.01407239864339127,-1.0,0.03340599486596521,0.03788405742272413,0.015982162499332344
2025-05-05,2025,11,Henan Songshan Longmen,Tianjin Jinmen Tiger,2,0.4782973162222778,0.2408957501941884,0.2808069335835339,1.2188346686307425,2.05,3.45,3.46,2.22,3.49,3.32,0.4543458643990392,0.2789090282356442,0.2667451073653167,draw,-0.037763852587027524,-1.0,0.004256835974993212,0.00873489853175213,0.01811864874956453
2025-05-06,2025,11,Meizhou Hakka,Shanghai Shenhua,2,0.1235187539573106,0.18490983072583436,0.6915714153168551,1.1822030439963611,5.88,4.85,1.43,4.79,4.4,1.65,0.11949290256227586,0.21147609528016748,0.6690310021575566,draw,0.025659062108812192,-1.0,0.026389075453124244,0.030867138009883163,0.01448388514062283
2025-05-06,2025,11,Qingdao West Coast,Shenzhen Xinpengcheng,1,0.5059843031031289,0.23406819132124557,0.2599475055756254,1.1822030439963611,1.85,3.66,3.89,1.91,3.56,4.22,0.4852877804349744,0.26539747356055937,0.2493147460044661,draw,-0.028645246768352672,2.66,0.014574561089805482,0.0190526236465644,0.018073342951086258
2025-05-09,2025,12,Shanghai Port,Qingdao Hainiu,0,0.8733025918872022,0.08391387203059697,0.04278353608220088,1.1955540195752634,1.19,7.27,9.96,1.34,5.72,8.19,0.8592033273647519,0.0987038666596934,0.04209280597555458,home,0.022451959564054658,0.18999999999999995,-0.06395439128521352,-0.07651579333060846,0.0610127035846557
2025-05-10,2025,12,Meizhou Hakka,Chengdu Rongcheng,2,0.137804923792961,0.1858382789747717,0.6763567972322673,1.1922487031552336,5.94,4.59,1.45,9.05,5.93,1.29,0.13305137495025215,0.21392259846230952,0.6530260265874382,draw,-0.018095273057999406,-1.0,-0.04255607680612669,-0.03807801424936777,0.015363812847765484
