fixture_id,season,round,match_date,home_team,away_team,home_goals,away_goals,result,status
CSL-2026-5-2026-04-11-shanghai-shenhua-shanghai-port,2026,5,2026-04-11,Shanghai Shenhua,Shanghai Port,1,0,H,finished
CSL-2026-5-2026-04-12-beijing-guoan-chengdu-rongcheng,2026,5,2026-04-12,Beijing Guoan,Chengdu Rongcheng,1,2,A,finished
CSL-2026-5-2026-04-12-shenzhen-xinpengcheng-yunnan-yukun,2026,5,2026-04-12,Shenzhen Xinpengcheng,Yunnan Yukun,3,4,A,finished
CSL-2026-5-2026-04-12-tianjin-jinmen-tiger-qingdao-hainiu,2026,5,2026-04-12,Tianjin Jinmen Tiger,Qingdao Hainiu,1,1,D,finished
CSL-2026-6-2026-04-17-chongqing-tonglianglong-shenzhen-xinpengcheng,2026,6,2026-04-17,Chongqing Tonglianglong,Shenzhen Xinpengcheng,2,0,H,finished
CSL-2026-6-2026-04-17-qingdao-hainiu-qingdao-west-coast,2026,6,2026-04-17,Qingdao Hainiu,Qingdao West Coast,0,0,D,finished
CSL-2026-6-2026-04-17-shandong-taishan-shanghai-port,2026,6,2026-04-17,Shandong Taishan,Shanghai Port,1,1,D,finished
CSL-2026-6-2026-04-17-wuhan-three-towns-chengdu-rongcheng,2026,6,2026-04-17,Wuhan Three Towns,Chengdu Rongcheng,0,1,A,finished
CSL-2026-6-2026-04-17-yunnan-yukun-tianjin-jinmen-tiger,2026,6,2026-04-17,Yunnan Yukun,Tianjin Jinmen Tiger,0,3,A,finished
CSL-2026-6-2026-04-17-zhejiang-professional-beijing-guoan,2026,6,2026-04-17,Zhejiang Professional,Beijing Guoan,0,0,D,finished
CSL-2026-6-2026-04-18-dalian-yingbo-henan-songshan-longmen,2026,6,2026-04-18,Dalian Yingbo,Henan Songshan Longmen,2,1,H,finished
CSL-2026-6-2026-04-18-shanghai-shenhua-liaoning-tieren,2026,6,2026-04-18,Shanghai Shenhua,Liaoning Tieren,3,1,H,finished
CSL-2026-7-2026-04-21-chengdu-rongcheng-yunnan-yukun,2026,7,2026-04-21,Chengdu Rongcheng,Yunnan Yukun,2,1,H,finished
CSL-2026-7-2026-04-21-shanghai-port-chongqing-tonglianglong,2026,7,2026-04-21,Shanghai Port,Chongqing Tonglianglong,1,2,A,finished
CSL-2026-7-2026-04-21-shenzhen-xinpengcheng-beijing-guoan,2026,7,2026-04-21,Shenzhen Xinpengcheng,Beijing Guoan,0,1,A,finished
CSL-2026-7-2026-04-21-tianjin-jinmen-tiger-shandong-taishan,2026,7,2026-04-21,Tianjin Jinmen Tiger,Shandong Taishan,1,2,A,finished
